objectid,pghdb_sde_permitparking_area,perimeter,permitpk,permitpk_i,code,neighborhood,number,acres,sqmiles,uniqueid,status,enforcement,grace_period,visitor_pass,monday,tuesday,wednesday,thursday,friday,saturday,sunday,other_time,hcmap,district,code_rpp,code_district,created_user,created_date,last_edited_user,last_edited_date,expiration_date,shape_area,shape_length
15,,17175.1044277,18,25,J,SHADYSIDE,0,97.035,0.152,1,Approved,,1 Hour,3 Days,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,,,,,West Shadyside-Bellefield,J,J - West Shadyside-Bellefield,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires April 1st,561858.588317871,3995.2868243195
16,,7302.63321596,49,110,N,MT WASHINGTON,0,26.005,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,Grandview: 6:00 PM - 12:00 AM,,Mt. Washington,N,N - Mt. Washington,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires April 1st,1275274.38095093,9010.18241890539
17,,,,,LL,,,,,,Approved,,,,,,,,,,,,,North Oakland-Bloomfield,LL,LL - North Oakland-Bloomfield,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires May 1st,242494.913574219,2234.1703067646
18,,,,,LL,,,,,,Approved,,,,,,,,,,,,,North Oakland-Bloomfield,LL,LL - North Oakland-Bloomfield,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires May 1st,91358.0703735352,2392.6142740897
19,,8150.22376721,24,86,S,NORTH OAKLAND,0,12.46,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Schenley Heights,S,S - Schenley Heights,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires May 1st,542777.448974609,8150.22229528262
20,,8150.22376721,24,86,S,NORTH OAKLAND,0,12.46,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Schenley Heights,S,S - Schenley Heights,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires May 1st,45881.177734375,1672.22946361871
21,,0,0,0,EE,POINT BREEZE,0,0,0,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,Point Breeze,EE,EE - Point Breeze,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires May 1st,1553577.23565674,9672.49026106731
22,,8214.33030066,35,104,W,CRAWFORD ROBERTS,0,25.442,0,1,Approved,,1 Hour,3 Days,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 6:00 PM,,,,Crawford-Roberts,W,W - Crawford-Roberts,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires June 1st,1328933.53198242,10097.3648148617
23,,8214.33030066,35,104,W,CRAWFORD ROBERTS,0,25.442,0,1,Approved,,1 Hour,3 Days,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 8:30 PM,7:00 AM - 6:00 PM,,,,Crawford-Roberts,W,W - Crawford-Roberts,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires June 1st,55012.0391235352,1100.06800364318
24,,12271.3261427,28,52,Z,SQUIRREL HILL NORTH,0,62.797,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Squirrel Hill,Z,Z - Squirrel Hill,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires June 1st,3833132.98504639,10744.5264070558
